customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00033,Female,0,Yes,Yes,63,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer,59.9369085496935,3771.71,No
CUST00034,Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,71.43298343014325,504.89,No
CUST00035,Male,1,Yes,No,55,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,46.348463625187236,2548.72,Yes
CUST00036,Female,0,Yes,No,59,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,72.56312713260945,4278.73,Yes
CUST00037,Male,0,No,Yes,9,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,79.7350718357357,714.99,No
CUST00038,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,73.80116858874564,2798.34,No
CUST00039,Male,0,No,No,27,Yes,No,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,40.659948382691915,1096.77,No
CUST00040,Male,1,No,No,48,Yes,No,No,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,47.042914023816465,2260.55,No
CUST00041,Male,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,82.42221835524211,2877.56,Yes
CUST00042,Female,0,No,No,12,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card,76.88040966345355,932.02,No
CUST00043,Female,0,Yes,No,35,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.36928193191725,1866.79,Yes
CUST00044,Female,0,No,Yes,25,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,71.11727827356063,1786.89,Yes
CUST00045,Female,0,No,No,3,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,52.81716475333211,151.14,No
CUST00046,Female,0,No,Yes,63,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,52.102952267695066,3287.83,No
CUST00047,Male,0,No,No,37,Yes,No,No,No,Yes,No,No,No,No,One year,No,Mailed check,26.362773048693168,977.78,No
CUST00048,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,60.244967317516185,1271.55,No
CUST00049,Female,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,89.35725849058414,91.37,No
CUST00050,Male,0,No,No,30,Yes,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer,69.21034386545338,2085.57,No
CUST00051,Female,1,No,Yes,10,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card,75.50417005630169,757.58,No
CUST00052,Male,0,No,No,45,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card,46.73084572820402,2108.58,No
CUST00053,Female,0,No,No,61,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,51.39500471462794,3142.65,No
CUST00054,Male,1,Yes,Yes,68,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,42.812229344215176,2915.52,No
CUST00055,Female,0,Yes,No,63,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Credit card,62.040688704787414,3909.05,No
CUST00056,Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card,79.45853537397855,710.58,No
CUST00057,Male,0,Yes,Yes,39,No,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card,55.84170436560204,2184.92,No
CUST00058,Male,0,No,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,82.11670827004504,1888.3,No
CUST00059,Male,0,No,No,43,Yes,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,45.80723304582914,1972.13,Yes
CUST00060,Male,0,Yes,No,59,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,79.80385348644437,4700.01,Yes
CUST00061,Male,0,Yes,No,61,Yes,No,No,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card,39.18413509097005,2390.18,Yes
CUST00062,Male,0,No,Yes,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,67.16631589765412,1078.62,Yes
CUST00063,Male,0,Yes,Yes,64,Yes,Yes,No,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,34.25973032219913,2194.3,Yes
CUST00064,Male,0,No,No,56,Yes,No,No,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,36.901781355239926,2065.47,No
CUST00065,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer,67.21489725020142,3624.07,No
CUST00066,Female,0,No,Yes,52,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,69.43040008556011,3606.57,No
CUST00067,Male,0,Yes,Yes,55,No,No,No,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer,32.68222671336481,1801.53,Yes
CUST00068,Female,1,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,82.6472949599896,655.66,Yes
CUST00069,Female,0,No,No,21,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,58.10791912534647,1222.7,No
CUST00070,Female,0,No,No,12,Yes,Yes,No,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,30.999442914044707,373.79,Yes
CUST00071,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,77.37729362278253,3646.14,No
CUST00072,Male,0,No,No,17,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,55.842186212928034,940.53,Yes
CUST00073,Female,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,83.87130893272284,3263.14,No
CUST00074,Male,1,Yes,Yes,16,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,75.34368205901347,1205.62,No
CUST00075,Female,1,Yes,No,14,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,74.02701286231964,1036.92,No
CUST00076,Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,74.19525279519145,1029.53,No
CUST00077,Female,1,No,No,62,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card,62.931118791334605,3908.25,Yes
CUST00078,Male,0,No,No,38,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer,68.22832389436469,2592.57,No
CUST00079,Female,0,No,No,12,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,70.65940888059286,844.85,No
CUST00080,Male,0,Yes,Yes,31,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card,76.15047448569294,2357.04,Yes
CUST00081,Female,1,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,78.4924236429834,635.17,Yes
CUST00082,Male,0,No,No,39,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,73.52922893093101,2861.57,Yes
CUST00083,Female,0,No,No,19,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card,82.40245557519988,1558.86,No
CUST00084,Male,0,No,No,62,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,89.56611854163859,5547.36,No
CUST00085,Male,0,Yes,No,43,Yes,No phone service,No,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,37.450726145914885,1612.88,No
CUST00086,Female,0,No,Yes,37,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,65.67163559283264,2436.07,Yes
CUST00087,Male,0,Yes,No,59,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card,58.05531166344884,3421.88,Yes
CUST00088,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,72.20798017976401,5048.03,Yes
CUST00089,Female,0,No,No,47,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card,72.15744039000467,3385.58,Yes
CUST00090,Female,0,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.217888171373446,771.09,Yes
CUST00091,Female,0,No,No,15,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card,60.20599816802981,898.01,No
CUST00092,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,50.737098186722434,2747.35,No
CUST00093,Female,0,Yes,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,65.12194476759606,2466.71,No
CUST00094,Female,1,No,Yes,67,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,63.22744031039494,4226.89,No
CUST00095,Female,0,No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,79.46799277795759,4600.91,No
CUST00096,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,76.06682397481735,4646.99,No
CUST00097,Female,0,Yes,No,12,Yes,No,No,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,36.31165210699071,438.76,No
CUST00098,Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer,70.68347250798247,362.57,No
CUST00099,Male,0,No,Yes,59,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,63.90312490948142,3767.01,No
CUST00100,Male,0,Yes,No,13,No,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card,72.51244030184871,936.92,No
CUST00101,Female,0,Yes,Yes,53,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,29.65261869165313,1572.83,No
CUST00102,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,84.60032537581996,254.56,No
CUST00103,Female,0,Yes,No,38,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,37.256850933452206,1417.58,Yes
CUST00104,Female,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card,72.25350871900422,5126.95,No
CUST00105,Female,0,No,No,24,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,50.30523091364894,1197.44,No
CUST00106,Female,0,Yes,Yes,31,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,72.14601995215305,2227.23,Yes
CUST00107,Female,0,No,Yes,58,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,56.94869082217401,3306.3,No
CUST00108,Female,0,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,75.81084341266286,4700.74,No
CUST00109,Male,0,No,Yes,37,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,57.95545276418689,2150.77,No
CUST00110,Female,0,No,No,52,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,53.2450478062001,2764.75,No
CUST00111,Male,0,No,Yes,66,Yes,No,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,38.56968835328966,2551.91,No
CUST00112,Female,0,No,Yes,27,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer,61.08315366023214,1647.75,No
CUST00113,Female,0,Yes,No,2,Yes,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,41.73633354838461,75.41,No
CUST00114,Male,1,Yes,No,21,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,57.916737496101966,1225.81,No
CUST00115,Female,1,No,Yes,37,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,59.572942793956834,2204.44,Yes
CUST00116,Male,0,No,No,71,Yes,No,No,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card,39.12317578083125,2780.34,Yes
CUST00117,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,72.35688663924601,5140.75,Yes
CUST00118,Female,0,No,No,61,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer,73.32512168526793,4470.08,No
CUST00119,Male,0,No,No,56,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Mailed check,56.22084505806621,3153.32,No
CUST00120,Female,0,No,No,5,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,70.3743197745307,359.28,No
CUST00121,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,78.19917019378688,2421.92,Yes
CUST00122,Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card,66.06037756028591,597.68,Yes
CUST00123,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card,64.03696433532559,133.22,No
CUST00124,Male,0,Yes,No,58,Yes,Yes,No,No,No,No,Yes,No,No,Two year,Yes,Credit card,30.712569016303778,1775.13,No
CUST00125,Female,0,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,80.07651245661218,3840.32,No
CUST00126,Female,0,Yes,Yes,58,Yes,Yes,No,No,No,No,No,Yes,No,One year,Yes,Credit card,31.529081054429362,1820.86,No
CUST00127,Male,0,No,No,30,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,71.59702939560258,2149.96,No
CUST00128,Female,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card,76.52526317132647,5209.74,No
CUST00129,Female,0,No,No,61,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,51.634679381062774,3151.93,No
CUST00130,Female,0,No,No,51,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,67.5573232677355,3439.02,No
CUST00131,Male,1,Yes,No,40,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer,42.473758195327406,1699.88,No
CUST00132,Male,0,No,Yes,30,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.60066983179637,1794.72,No
CUST00133,Male,0,No,Yes,21,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,55.67528187225877,1165.24,Yes
CUST00134,Male,0,No,No,3,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,54.28761507703504,169.52,No
CUST00135,Male,0,Yes,No,12,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Bank transfer,58.71253905820194,710.24,No
CUST00136,Male,0,Yes,No,44,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,47.69465994447716,2089.0,Yes
CUST00137,Male,0,Yes,No,41,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,48.22442124648927,1971.99,No
CUST00138,Male,0,No,No,48,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,84.72293584122333,4067.56,No
CUST00139,Male,0,No,No,19,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.872618122731886,837.93,No
CUST00140,Female,0,No,Yes,53,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,73.09655274380461,3881.73,No
CUST00141,Male,0,No,Yes,35,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,75.30659490150197,2638.55,Yes
CUST00142,Female,0,No,No,0,Yes,No phone service,No,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,26.50019361789862,-2.39,No
CUST00143,Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,85.62014654543025,1192.37,No
CUST00144,Female,0,Yes,Yes,16,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,51.5766059505334,830.43,No
CUST00145,Male,1,No,No,23,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Mailed check,77.3630501598091,1773.49,No
CUST00146,Male,0,Yes,No,57,Yes,No,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,35.372326049159376,2020.13,No
CUST00147,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,62.59488023237882,4437.86,No
CUST00148,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,81.9545312338849,1794.82,Yes
CUST00149,Female,0,No,No,45,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer,47.55502824239064,2135.0,No
CUST00150,Male,0,Yes,Yes,71,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,82.28760464224464,5838.12,No
CUST00151,Male,0,Yes,No,7,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.95863875430702,562.65,No
CUST00152,Male,0,Yes,No,58,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.970839554491036,2775.53,No
CUST00153,Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,68.41835458761003,3976.87,No
CUST00154,Male,0,Yes,No,12,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer,69.00591900628261,829.16,No
CUST00155,Female,0,No,No,38,Yes,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Credit card,45.511797356682095,1729.27,No
CUST00156,Male,0,No,No,27,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,67.25006824447313,1814.45,No
CUST00157,Female,0,Yes,No,60,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card,45.23322331562675,2715.33,Yes
CUST00158,Male,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card,71.74555495356965,1066.63,Yes
CUST00159,Female,0,Yes,No,1,Yes,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer,64.87585741538575,74.68,No
CUST00160,Male,0,No,No,16,Yes,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,58.60884912494307,938.89,No
CUST00161,Male,1,No,No,29,Yes,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,33.204993781642386,953.65,Yes
CUST00162,Female,0,No,Yes,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card,83.76086712835603,1006.93,Yes
CUST00163,Female,0,No,No,12,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Mailed check,78.40028450797816,939.54,No
CUST00164,Female,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card,79.65439560126774,3335.97,Yes
CUST00165,Male,0,No,Yes,20,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.35536243419166,1495.6,No
CUST00166,Female,0,Yes,Yes,54,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,55.5934919184828,2992.26,No
CUST00167,Male,0,No,No,39,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,81.28639489963568,3171.73,No
CUST00168,Male,0,Yes,No,14,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,54.34834802175236,770.11,No
CUST00169,Female,0,No,No,51,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,77.56744087434558,3950.69,No
CUST00170,Female,0,Yes,No,52,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,56.11249372833727,2912.93,No
CUST00171,Male,1,No,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,73.24720228223143,3725.62,No
CUST00172,Male,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Credit card,62.16933180182419,1794.24,No
CUST00173,Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,70.84920339023215,2258.07,No
CUST00174,Female,0,No,No,56,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,71.20710863735948,3994.05,No
CUST00175,Female,1,Yes,Yes,51,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,88.82085478871568,4536.6,No
CUST00176,Male,0,Yes,No,8,Yes,No,No,No,No,No,No,No,Yes,One year,Yes,Credit card,28.513928888445125,232.65,Yes
